time	V(n004)
0.000000000000000e+000	1.856800e-019
9.999999837751590e-018	-3.144151e-013
1.999999967550318e-017	-5.434912e-013
3.999999935100636e-017	-8.443986e-013
7.999999870201272e-017	-1.113887e-012
1.599999974040254e-016	-1.178613e-012
3.199999948080509e-016	-1.136350e-012
6.399999896161018e-016	-1.225279e-012
1.279999979232204e-015	-1.602792e-012
2.559999958464407e-015	-1.849558e-012
1.023999983385763e-014	-1.012079e-012
1.023999983385763e-013	4.555457e-013
1.945599968432950e-013	1.548183e-012
2.867199953480137e-013	2.265833e-012
3.788799938527324e-013	2.608495e-012
4.710399923574510e-013	2.576170e-012
5.631999908621698e-013	2.168858e-012
6.553599893668882e-013	1.386558e-012
3.320411416419301e-012	4.225134e-012
5.985462843471714e-012	2.525217e-012
8.650514270524127e-012	-3.713193e-012
1.131556569757654e-011	-1.449010e-011
1.398061712462895e-011	-2.980549e-011
1.664566855168137e-011	-4.965938e-011
1.931071997873377e-011	-7.405176e-011
2.873929140730520e-011	-1.860076e-010
3.816786283587663e-011	-3.149923e-010
4.759643426444806e-011	-4.610061e-010
5.702500569301949e-011	-6.240487e-010
6.645357712159091e-011	-8.041204e-010
7.588214855016235e-011	-1.001221e-009
8.531071997873376e-011	-1.215350e-009
9.045357712159088e-011	-1.331888e-009
9.559643426444802e-011	-1.449725e-009
1.007392914073052e-010	-1.568859e-009
1.058821485501623e-010	-1.689291e-009
1.110250056930194e-010	-1.811022e-009
1.161678628358765e-010	-1.934051e-009
1.213107199787337e-010	-2.058378e-009
1.265964342644479e-010	-2.186019e-009
1.318821485501622e-010	-2.313265e-009
1.371678628358765e-010	-2.440118e-009
1.424535771215907e-010	-2.566577e-009
1.477392914073050e-010	-2.692643e-009
1.530250056930193e-010	-2.818315e-009
1.583107199787335e-010	-2.943593e-009
1.643107199787335e-010	-3.084437e-009
1.703107199787335e-010	-3.222858e-009
1.763107199787335e-010	-3.358856e-009
1.823107199787334e-010	-3.492429e-009
1.883107199787334e-010	-3.623579e-009
1.943107199787334e-010	-3.752305e-009
2.003107199787334e-010	-3.878607e-009
2.073107199787334e-010	-4.021425e-009
2.143107199787333e-010	-4.159211e-009
2.213107199787333e-010	-4.291965e-009
2.283107199787333e-010	-4.419686e-009
2.353107199787333e-010	-4.542375e-009
2.423107199787333e-010	-4.660032e-009
2.493107199787332e-010	-4.772656e-009
2.557392914073046e-010	-4.870546e-009
2.621678628358760e-010	-4.963576e-009
